Sample	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	Kallisto_mqc-generalstats-kallisto-percent_aligned
SRR8668755	47416718.0	52.73132178071208
SRR8668756	58270531.0	68.97238649917195
SRR8668757	46344062.0	48.72672119074052
SRR8668758	18762070.0	62.20519820928473
SRR8668759	2560609.0	48.09737477088743
SRR8668769	63720818.0	67.60719602945021
SRR8668771	33603869.0	52.1503335910184
SRR8668772	37041302.0	54.32876660170227
SRR8668773	45774918.0	65.41131400983676
SRR8668774	78640298.0	58.95608069017697
