Module	Section	Sample Name	Source
Kallisto	all_sections	SRR8668774	/Users/nicholasbrown/Desktop/course_dataset/raw_data/CL13.log
Kallisto	all_sections	SRR8668773	/Users/nicholasbrown/Desktop/course_dataset/raw_data/CL12.log
Kallisto	all_sections	SRR8668771	/Users/nicholasbrown/Desktop/course_dataset/raw_data/CL10.log
Kallisto	all_sections	SRR8668772	/Users/nicholasbrown/Desktop/course_dataset/raw_data/CL11.log
Kallisto	all_sections	SRR8668757	/Users/nicholasbrown/Desktop/course_dataset/raw_data/HS03.log
Kallisto	all_sections	SRR8668756	/Users/nicholasbrown/Desktop/course_dataset/raw_data/HS02.log
Kallisto	all_sections	SRR8668755	/Users/nicholasbrown/Desktop/course_dataset/raw_data/HS01.log
Kallisto	all_sections	SRR8668759	/Users/nicholasbrown/Desktop/course_dataset/raw_data/HS05.log
Kallisto	all_sections	SRR8668769	/Users/nicholasbrown/Desktop/course_dataset/raw_data/CL08.log
Kallisto	all_sections	SRR8668758	/Users/nicholasbrown/Desktop/course_dataset/raw_data/HS04.log
